CH3C4H         5887.0   64    0    1    1
S2             2200.0   64    0    1    1
SO2            5330.0   64    0    0    1
CH3C3N         6480.0   65    0    1    1
HS2            2650.0   65    0    1    1
SiC3H          1650.0   65    0    1    1
H2S2           3100.0   66    0    1    1
C3S            3500.0   68    0    1    1
C6             4800.0   72    0    1    1
C6H            5337.0   73    0    1    1
C5N            4800.0   74    0    1    1
C6H2           5787.0   74    0    1    1
C6H3           6237.0   75    0    1    1
HC5N           6180.0   75    0    1    1
C6H4           6687.0   76    0    1    1
H2C5N          6630.0   76    0    1    1
SiC4           1900.0   76    0    1    1
H3C5N          7080.0   77    0    1    1
C6H6           7587.0   78    0    1    1
C4S            4300.0   80    0    1    1
C7             5600.0   84    0    1    1
C7H            6137.0   85    0    1    1
C7H2           6587.0   86    0    1    1
C7H3           7037.0   87    0    1    1
C7H4           7487.0   88    0    1    1
CH3C6H         7487.0   88    0    1    1
CH3C5N         7880.0   89    0    1    1
C8             6400.0   96    0    1    1
C8H            6937.0   97    0    1    1
C7N            6400.0   98    0    1    1
C8H2           7387.0   98    0    1    1
C8H3           7837.0   99    0    1    1
HC7N           7780.0   99    0    1    1
C8H4           8287.0  100    0    1    1
H2C7N          8230.0  100    0    1    1
H3C7N          8680.0  101    0    1    1
C9             7200.0  108    0    1    1
C9H            7737.0  109    0    1    1
C9H2           8187.0  110    0    1    1
C9H3           8637.0  111    0    1    1
C9H4           9087.0  112    0    1    1
CH3C7N         9480.0  113    0    1    1
C10            8000.0  120    0    1    1
C9N            8000.0  122    0    1    1
HC9N           9380.0  123    0    1    1
H2C9N          9830.0  124    0    1    1
H3C9N         10280.0  125    0    1    1
C2H2N          3000.0   40    0    1    1
C3H2N          4000.0   52    0    1    1
C3H3N          4000.0   53    0    1    1
C5H2N          6000.0   76    0    1    1
C7H2N          7000.0  100    0    1    1
C9H2N          9000.0  124    0    1    1
N2H3           5000.0   31    0    1    1
N2H2N          5000.0   44    0    1    1
C2H3N          5000.0   41    0    1    1
C5H4           6000.0   64    0    1    1
C5H3N          6000.0   77    0    1    1
C7H3N          8000.0  101    0    1    1
C9H3N          9000.0  125    0    1    1
CH3NH2         5000.0   33    0    1    1
